DAT,CPI
1980-12-01,9.08564900000000000
1981-01-01,10.73512000000000000
1981-02-01,13.32160000000000000
1981-03-01,12.59431000000000000
1981-04-01,13.85681000000000000
1981-05-01,13.31445000000000000
1981-06-01,13.74089000000000000
1981-07-01,13.46154000000000000
1981-08-01,14.34024000000000000
1981-09-01,13.40872000000000000
1981-10-01,13.33333000000000000
1981-11-01,12.43414000000000000
1981-12-01,12.73210000000000000
1982-01-01,11.69652000000000000
1982-02-01,9.58052800000000000
1982-03-01,8.81443300000000000
1982-04-01,7.50507100000000000
1982-05-01,6.70000000000000000
1982-06-01,7.05128200000000000
1982-07-01,6.92494000000000000
1982-08-01,7.48688600000000000
1982-09-01,7.26495700000000000
1982-10-01,6.72941200000000000
1982-11-01,7.35707600000000000
1982-12-01,8.04705900000000000
1983-01-01,7.83018900000000000
1983-02-01,9.16824200000000000
1983-03-01,9.85315000000000000
1983-04-01,10.70755000000000000
1983-05-01,12.79288000000000000
1983-06-01,13.40396000000000000
1983-07-01,13.17935000000000000
1983-08-01,12.51109000000000000
1983-09-01,13.28021000000000000
1983-10-01,13.62434000000000000
1983-11-01,13.09472000000000000
1983-12-01,12.45645000000000000
1984-01-01,13.77953000000000000
1984-02-01,12.16450000000000000
1984-03-01,11.12549000000000000
1984-04-01,10.01278000000000000
1984-05-01,7.85209800000000000
1984-06-01,7.67668600000000000
1984-07-01,8.12324900000000000
1984-08-01,6.74290200000000000
1984-09-01,6.33059800000000000
1984-10-01,6.13116000000000000
1984-11-01,6.05943600000000000
1984-12-01,5.18977500000000000
1985-01-01,4.42137600000000000
1985-02-01,4.28406000000000000
1985-03-01,5.04462600000000000
1985-04-01,6.27420600000000000
1985-05-01,6.74114000000000000
1985-06-01,5.58279900000000000
1985-07-01,5.14433800000000000
1985-08-01,5.46730700000000000
1985-09-01,5.07166500000000000
1985-10-01,5.55758700000000000
1985-11-01,5.89519600000000000
1985-12-01,7.14285700000000000
1986-01-01,6.95876300000000000
1986-02-01,8.21613600000000000
1986-03-01,8.86590300000000000
1986-04-01,8.23615200000000000
1986-05-01,8.51678100000000000
1986-06-01,8.57449100000000000
1986-07-01,8.62372400000000000
1986-08-01,8.72154100000000000
1986-09-01,9.23399800000000000
1986-10-01,9.59473500000000000
1986-11-01,9.82817800000000000
1986-12-01,9.20962200000000000
1987-01-01,9.39759100000000000
1987-02-01,8.37893300000000000
1987-03-01,7.53308400000000000
1987-04-01,7.47474800000000000
1987-05-01,7.98137700000000000
1987-06-01,8.68706800000000000
1987-07-01,8.36033700000000000
1987-08-01,9.53608200000000000
1987-09-01,10.18252000000000000
1987-10-01,9.48166800000000000
1987-11-01,9.10513100000000000
1987-12-01,9.31403400000000000
1988-01-01,9.43989900000000000
1988-02-01,9.18270800000000000
1988-03-01,9.75071000000000000
1988-04-01,10.40100000000000000
1988-05-01,9.67046500000000000
1988-06-01,9.35513200000000000
1988-07-01,9.80861300000000000
1988-08-01,8.67647100000000000
1988-09-01,8.19529200000000000
1988-10-01,9.75750500000000000
1988-11-01,9.68644900000000000
1988-12-01,8.78622700000000000
1989-01-01,8.00652900000000000
1989-02-01,8.56841300000000000
1989-03-01,8.66111400000000000
1989-04-01,7.88876300000000000
1989-05-01,8.04641700000000000
1989-06-01,7.15114600000000000
1989-07-01,6.64031400000000000
1989-08-01,7.20880300000000000
1989-09-01,7.62552300000000000
1989-10-01,5.38922200000000000
1989-11-01,4.76190500000000000
1989-12-01,5.42168700000000000
1990-01-01,5.45454500000000000
1990-02-01,6.06060600000000000
1990-03-01,6.62650600000000000
1990-04-01,7.78443100000000000
1990-05-01,7.69230700000000000
1990-06-01,8.82352900000000000
1990-07-01,9.88372100000000000
1990-08-01,9.19540200000000000
1990-09-01,8.52272700000000000
1990-10-01,10.79545000000000000
1990-11-01,12.50000000000000000
1990-12-01,13.71429000000000000
1991-01-01,16.09195000000000000
1991-02-01,15.42857000000000000
1991-03-01,13.55932000000000000
1991-04-01,12.22222000000000000
1991-05-01,12.08791000000000000
1991-06-01,12.97297000000000000
1991-07-01,13.22751000000000000
1991-08-01,14.21053000000000000
1991-09-01,15.70681000000000000
1991-10-01,14.35897000000000000
1991-11-01,13.63636000000000000
1991-12-01,13.06533000000000000
1992-01-01,12.87129000000000000
1992-02-01,13.36634000000000000
1992-03-01,13.93035000000000000
1992-04-01,14.35644000000000000
1992-05-01,14.70588000000000000
1992-06-01,12.91866000000000000
1992-07-01,13.08411000000000000
1992-08-01,11.52074000000000000
1992-09-01,9.95475100000000000
1992-10-01,9.41704100000000000
1992-11-01,8.44444500000000000
1992-12-01,8.00000000000000000
1993-01-01,5.70175500000000000
1993-02-01,5.24017500000000000
1993-03-01,6.11353700000000000
1993-04-01,6.06060600000000000
1993-05-01,5.12820500000000000
1993-06-01,5.93220300000000000
1993-07-01,4.54545500000000000
1993-08-01,5.78512400000000000
1993-09-01,6.58436200000000000
1993-10-01,7.37704900000000000
1993-11-01,8.60655800000000000
1993-12-01,8.64197500000000000
1994-01-01,9.12863100000000000
1994-02-01,9.95850700000000000
1994-03-01,9.87654300000000000
1994-04-01,9.79591800000000000
1994-05-01,10.56911000000000000
1994-06-01,10.80000000000000000
1994-07-01,11.06719000000000000
1994-08-01,10.93750000000000000
1994-09-01,11.19691000000000000
1994-10-01,10.30534000000000000
1994-11-01,9.81132000000000000
1994-12-01,9.46969700000000000
1995-01-01,9.88593200000000000
1995-02-01,9.81132000000000000
1995-03-01,9.73782700000000000
1995-04-01,9.66542700000000000
1995-05-01,10.29412000000000000
1995-06-01,10.46931000000000000
1995-07-01,11.38790000000000000
1995-08-01,10.91549000000000000
1995-09-01,10.06944000000000000
1995-10-01,10.38062000000000000
1995-11-01,10.30928000000000000
1995-12-01,9.68858100000000000
1996-01-01,8.99654000000000000
1996-02-01,8.59106500000000000
1996-03-01,8.87372000000000000
1996-04-01,9.83050800000000000
1996-05-01,9.33333300000000000
1996-06-01,8.82352900000000000
1996-07-01,8.30670900000000000
1996-08-01,8.88888900000000000
1996-09-01,8.51735000000000000
1996-10-01,8.46395000000000000
1996-11-01,8.72274100000000000
1996-12-01,10.41009000000000000
1997-01-01,11.11111000000000000
1997-02-01,10.75949000000000000
1997-03-01,10.03135000000000000
1997-04-01,9.25925900000000000
1997-05-01,7.31707300000000000
1997-06-01,6.60660600000000000
1997-07-01,5.60472000000000000
1997-08-01,4.66472300000000000
1997-09-01,4.94186100000000000
1997-10-01,5.49133000000000000
1997-11-01,4.87106000000000000
1997-12-01,6.28571400000000000
1998-01-01,9.71428600000000000
1998-02-01,9.14285800000000000
1998-03-01,8.26210800000000000
1998-04-01,8.19209000000000000
1998-05-01,10.51136000000000000
1998-06-01,12.39437000000000000
1998-07-01,14.80447000000000000
1998-08-01,15.04178000000000000
1998-09-01,16.34349000000000000
1998-10-01,18.63014000000000000
1998-11-01,19.67213000000000000
1998-12-01,15.32258000000000000
1999-01-01,9.37500000000000000
1999-02-01,8.63874300000000000
1999-03-01,8.94736900000000000
1999-04-01,8.35509100000000000
1999-05-01,7.71208200000000000
1999-06-01,5.26315800000000000
1999-07-01,3.16301700000000000
1999-08-01,3.14770000000000000
1999-09-01,2.14285700000000000
1999-10-01,0.92378750000000000
1999-11-01,0.00000000000000000
1999-12-01,0.46620050000000000
2000-01-01,2.61904800000000000
2000-02-01,3.61445800000000000
2000-03-01,4.83091800000000000
2000-04-01,5.54216900000000000
2000-05-01,5.01193300000000000
2000-06-01,5.23809500000000000
2000-07-01,4.95283000000000000
2000-08-01,3.99061000000000000
2000-09-01,3.49650400000000000
2000-10-01,2.74599600000000000
2000-11-01,2.73972600000000000
2000-12-01,3.48027800000000000
2001-01-01,3.24826000000000000
2001-02-01,3.02325600000000000
2001-03-01,2.53456200000000000
2001-04-01,2.28310500000000000
2001-05-01,2.50000000000000000
2001-06-01,3.39366500000000000
2001-07-01,4.04494400000000000
2001-08-01,5.19187400000000000
2001-09-01,4.72973000000000000
2001-10-01,4.23162600000000000
2001-11-01,4.88888900000000000
2001-12-01,5.15695000000000000
2002-01-01,4.94382000000000000
2002-02-01,5.19187400000000000
2002-03-01,5.16854000000000000
2002-04-01,4.68750000000000000
2002-05-01,4.65631900000000000
2002-06-01,4.15754900000000000
2002-07-01,3.88768900000000000
2002-08-01,3.86266100000000000
2002-09-01,4.30107500000000000
2002-10-01,4.05982900000000000
2002-11-01,3.60169500000000000
2002-12-01,3.19829400000000000
2003-01-01,3.42612400000000000
2003-02-01,3.86266100000000000
2003-03-01,4.05982900000000000
2003-04-01,5.11727100000000000
2003-05-01,4.66101700000000000
2003-06-01,4.41176500000000000
2003-07-01,4.15800400000000000
2003-08-01,3.09917400000000000
2003-09-01,2.88659800000000000
2003-10-01,3.28542100000000000
2003-11-01,3.06748500000000000
2003-12-01,3.71900800000000000
2004-01-01,4.34782600000000000
2004-02-01,4.13223100000000000
2004-03-01,3.49076000000000000
2004-04-01,2.23123700000000000
2004-05-01,2.83400800000000000
2004-06-01,3.01810900000000000
2004-07-01,3.19361300000000000
2004-08-01,4.60921900000000000
2004-09-01,4.80961900000000000
2004-10-01,4.57256500000000000
2004-11-01,4.16666700000000000
2004-12-01,3.78486100000000000
2005-01-01,4.36507900000000000
2005-02-01,4.16666700000000000
2005-03-01,4.16666700000000000
2005-04-01,4.96031800000000000
2005-05-01,3.74015700000000000
2005-06-01,3.32031300000000000
2005-07-01,4.06189500000000000
2005-08-01,3.44827600000000000
2005-09-01,3.63288700000000000
2005-10-01,4.18250900000000000
2005-11-01,5.33333300000000000
2005-12-01,5.56621900000000000
2006-01-01,4.37262300000000000
2006-02-01,4.57142900000000000
2006-03-01,4.57142900000000000
2006-04-01,4.65282500000000000
2006-05-01,5.92540600000000000
2006-06-01,7.26914600000000000
2006-07-01,6.33219800000000000
2006-08-01,5.93837500000000000
2006-09-01,6.39864800000000000
2006-10-01,6.91743900000000000
2006-11-01,5.95073500000000000
2006-12-01,6.52864800000000000
2007-01-01,6.72268900000000000
2007-02-01,7.56302500000000000
2007-03-01,6.72268900000000000
2007-04-01,6.66666700000000000
2007-05-01,6.61157000000000000
2007-06-01,5.69105700000000000
2007-07-01,6.45161300000000000
2007-08-01,7.25806500000000000
2007-09-01,6.40000000000000000
2007-10-01,5.51181100000000000
2007-11-01,5.51181100000000000
2007-12-01,5.51181100000000000
2008-01-01,5.51181100000000000
2008-02-01,5.46875000000000000
2008-03-01,7.87401600000000000
2008-04-01,7.81250000000000000
2008-05-01,7.75193800000000000
2008-06-01,7.69230700000000000
2008-07-01,8.33333300000000000
2008-08-01,9.02255600000000000
2008-09-01,9.77443600000000000
2008-10-01,10.44776000000000000
2008-11-01,10.44776000000000000
